marca,modelo,año,kilometraje_km,potencia_cv,combustible,transmision,etiqueta_ambiental,tipo_venta,precio_eur,provincia,url,antiguedad,km_por_año,fecha_scraping
Peugeot,2008 GT Line Puretech 130 SS BVM6,2008,72000,130,Gasolina,Manual,C,Usado,12750.0,Madrid,https://www.coches.net/peugeot-2008-gt-line-puretech-130-ss-bvm6-5p-gasolina-2020-en-madrid-62232447-covo.aspx,18,4000,2026-05-08
Mercedes-Benz,CLS CLS 350 d 4MATIC,2019,183000,286,Diésel,Manual,C,Usado,36470.0,Madrid,https://www.coches.net/mercedes-benz-cls-cls-350-d-4matic-4p-diesel-2019-en-madrid-62232668-covo.aspx,7,26143,2026-05-08
Citroen,C3 Aircross PureTech LIVE,2019,105000,82,Gasolina,Manual,C,Usado,9290.0,Las Palmas,https://www.coches.net/citroen-c3-aircross-puretech-60kw-82cv-live-5p-gasolina-2019-en-las-palmas-62235150-covo.aspx,7,15000,2026-05-08
Jeep,Avenger 1.2 G Altitude,2024,71000,100,Gasolina,Manual,C,Usado,16990.0,Sta. C. Tenerife,https://www.coches.net/jeep-avenger-12-g-74kw-100cv-altitude-5p-gasolina-2023-en-sta-c-tenerife-62243682-covo.aspx,2,35500,2026-05-08
Kia,XCeed 1.6 GDi PHEV eDrive,2022,12211,141,Híbrido Enchufable,Automática,0_EMISIONES,Usado,21940.0,Sevilla,https://www.coches.net/kia-xceed-16-gdi-phev-104kw-141cv-edrive-5p-electrico-hibrido-2022-en-sevilla-62247541-covo.aspx,4,3053,2026-05-08
Kia,XCeed 1.6 GDi PHEV eTech,2021,10095,141,Híbrido Enchufable,Manual,0_EMISIONES,Usado,21890.0,Sevilla,https://www.coches.net/kia-xceed-16-gdi-phev-104kw-141cv-etech-5p-electrico-hibrido-2021-en-sevilla-62249724-covo.aspx,5,2019,2026-05-08
Kia,e-Niro eNiro Emotion,2020,16019,136,Eléctrico,Automática,Sin etiqueta,Usado,21740.0,Sevilla,https://www.coches.net/kia-e-niro-eniro-100kw-136cv-emotion-5p-electrico-hibrido-2020-en-sevilla-62250394-covo.aspx,6,2670,2026-05-08
Kia,XCeed 1.6 GDi PHEV eDrive,2022,27754,141,Híbrido Enchufable,Automática,0_EMISIONES,Usado,19480.0,Sevilla,https://www.coches.net/kia-xceed-16-gdi-phev-104kw-141cv-edrive-5p-electrico-hibrido-2022-en-sevilla-62250544-covo.aspx,4,6938,2026-05-08
Kia,XCeed 1.6 GDi PHEV eTech,2022,19146,141,Híbrido Enchufable,Manual,0_EMISIONES,Usado,22490.0,Sevilla,https://www.coches.net/kia-xceed-16-gdi-phev-104kw-141cv-etech-5p-electrico-hibrido-2022-en-sevilla-62250591-covo.aspx,4,4786,2026-05-08
Kia,XCeed 1.6 GDi PHEV eDrive,2022,9128,141,Híbrido Enchufable,Automática,0_EMISIONES,Usado,20940.0,Sevilla,https://www.coches.net/kia-xceed-16-gdi-phev-104kw-141cv-edrive-5p-electrico-hibrido-2022-en-sevilla-62257564-covo.aspx,4,2282,2026-05-08
Mazda,CX-30 eSKYACTIVX 2.0 AT Zenith,2022,79000,186,Híbrido,Automática,ECO,Usado,22990.0,Sta. C. Tenerife,https://www.coches.net/mazda-cx-30-eskyactivx-20-137kw-at-zenith-5p-electrico-hibrido-2021-en-sta-c-tenerife-62272134-covo.aspx,4,19750,2026-05-08
Mitsubishi,Eclipse Cross 2.4 PHEV Kaiteki Auto 4WD,2022,69000,188,Híbrido Enchufable,Manual,0_EMISIONES,Usado,20990.0,Sta. C. Tenerife,https://www.coches.net/mitsubishi-eclipse-cross-24-phev-kaiteki-auto-4wd-5p-electrico-hibrido-2021-en-sta-c-tenerife-62273618-covo.aspx,4,17250,2026-05-08
Mercedes-Benz,Clase E E 200 d,2017,150595,150,Diésel,Manual,C,Usado,23490.0,Bizkaia,https://www.coches.net/mercedes-benz-clase-e-e-200-d-4p-diesel-2018-en-vizcaya-62273749-covo.aspx,9,16733,2026-05-08
Volkswagen,Golf Style 1.5 PHEV DSG,2025,3900,204,Híbrido Enchufable,Automática,0_EMISIONES,Usado,26990.0,Sta. C. Tenerife,https://www.coches.net/volkswagen-golf-style-15-phev-110kw--85kw-dsg-5p-electrico-hibrido-2025-en-sta-c-tenerife-62276478-covo.aspx,1,3900,2026-05-08
Ds,DS 3 Crossback PureTech PERFORMANCE LINE,2022,74000,130,Gasolina,Manual,C,Usado,13990.0,Sta. C. Tenerife,https://www.coches.net/ds-ds-3-crossback-puretech-96kw-130cv-performance-line-5p-gasolina-2022-en-sta-c-tenerife-62276479-covo.aspx,4,18500,2026-05-08
Mitsubishi,Eclipse Cross 2.4 PHEV Kaiteki Auto 4WD,2022,69000,188,Híbrido Enchufable,Manual,0_EMISIONES,Usado,20990.0,Las Palmas,https://www.coches.net/mitsubishi-eclipse-cross-24-phev-kaiteki-auto-4wd-5p-electrico-hibrido-2021-en-las-palmas-62276545-covo.aspx,4,17250,2026-05-08
Ds,DS 3 Crossback PureTech PERFORMANCE LINE,2022,74000,130,Gasolina,Manual,C,Usado,13990.0,Las Palmas,https://www.coches.net/ds-ds-3-crossback-puretech-96kw-130cv-performance-line-5p-gasolina-2022-en-las-palmas-62276549-covo.aspx,4,18500,2026-05-08
Volkswagen,Golf Style 1.5 PHEV DSG,2025,3900,204,Híbrido Enchufable,Automática,0_EMISIONES,Usado,26990.0,Las Palmas,https://www.coches.net/volkswagen-golf-style-15-phev-110kw--85kw-dsg-5p-electrico-hibrido-2025-en-las-palmas-62276550-covo.aspx,1,3900,2026-05-08
Nissan,Micra IGT 100 CV E6D Tekna,2020,129000,100,Gasolina,Manual,C,Usado,14390.0,Murcia,https://www.coches.net/nissan-micra-igt-74-kw-100-cv-e6d-tekna-5p-gasolina-2020-en-murcia-62278232-covo.aspx,6,21500,2026-05-08
Seat,Ibiza 1.2 TSI Style,2016,199000,90,Gasolina,Manual,C,Usado,6750.0,Madrid,https://www.coches.net/seat-ibiza-12-tsi-90cv-style-5p-gasolina-2017-en-madrid-62289026-covo.aspx,10,19900,2026-05-08
Audi,A6 2.0 TDI multitronic,2012,317000,177,Diésel,Manual,B,Usado,9970.0,Madrid,https://www.coches.net/audi-a6-20-tdi-177cv-multitronic-4p-diesel-2013-en-madrid-62289116-covo.aspx,14,22643,2026-05-08
Porsche,Cayenne Coupé EHybrid,2024,32000,470,Híbrido Enchufable,Manual,0_EMISIONES,Usado,94990.0,Sta. C. Tenerife,https://www.coches.net/porsche-cayenne-coupe-ehybrid-5p-electrico-hibrido-2024-en-sta-c-tenerife-62289475-covo.aspx,2,16000,2026-05-08
Audi,A8 3.0 TDI quattro tiptronic DPF,2008,375000,233,Diésel,Automática,B,Usado,8900.0,Asturias,https://www.coches.net/audi-a8-30-tdi-quattro-tiptronic-dpf-4p-diesel-2008-en-asturias-62296793-covo.aspx,18,20833,2026-05-08
Bmw,X1 sDrive18dA Corporate,2022,62000,150,Diésel,Manual,C,Usado,27990.0,Murcia,https://www.coches.net/bmw-x1-sdrive18da-corporate-5p-diesel-2022-en-murcia-62298985-covo.aspx,4,15500,2026-05-08
Audi,A1 Sportback 35 TFSI S tronic,2020,68000,150,Gasolina,Automática,C,Usado,24500.0,Pontevedra,https://www.coches.net/audi-a1-sportback-35-tfsi-110kw-150cv-s-tronic-5p-gasolina-2021-en-pontevedra-62307707-covo.aspx,6,11333,2026-05-08
Volvo,XC90 2.0 T8 AWD Inscription Auto,2020,99000,390,Híbrido Enchufable,Manual,0_EMISIONES,Usado,37990.0,Sta. C. Tenerife,https://www.coches.net/volvo-xc90-20-t8-awd-inscription-auto-5p-electrico-hibrido-2020-en-sta-c-tenerife-62307720-covo.aspx,6,16500,2026-05-08
Hyundai,i10 1.0 Klass,2023,72000,67,Gasolina,Manual,C,Usado,10990.0,Sta. C. Tenerife,https://www.coches.net/hyundai-i10-10-klass-5p-gasolina-2023-en-sta-c-tenerife-62307844-covo.aspx,3,24000,2026-05-08
Hyundai,i10 1.0 Klass,2023,73000,67,Gasolina,Manual,C,Usado,10990.0,Sta. C. Tenerife,https://www.coches.net/hyundai-i10-10-klass-5p-gasolina-2023-en-sta-c-tenerife-62307845-covo.aspx,3,24333,2026-05-08
Land Rover,Range Rover Evoque 1.5 P300e RDynamic S AUTO 4WD PHEV,2022,61000,309,Híbrido Enchufable,Manual,0_EMISIONES,Usado,30990.0,Sta. C. Tenerife,https://www.coches.net/land-rover-range-rover-evoque-15-p300e-rdynamic-s-auto-4wd-phev-5p-electrico-hibrido-2023-en-sta-c-tenerife-62307849-covo.aspx,4,15250,2026-05-08
Bmw,X2 xDrive25e Auto,2021,46000,220,Híbrido Enchufable,Manual,0_EMISIONES,Usado,28990.0,Sta. C. Tenerife,https://www.coches.net/bmw-x2-xdrive25e-auto-5p-electrico-hibrido-2021-en-sta-c-tenerife-62307860-covo.aspx,5,9200,2026-05-08
Volvo,XC90 2.0 T8 AWD Inscription Auto,2020,99000,390,Híbrido Enchufable,Manual,0_EMISIONES,Usado,37990.0,Las Palmas,https://www.coches.net/volvo-xc90-20-t8-awd-inscription-auto-5p-electrico-hibrido-2020-en-las-palmas-62308147-covo.aspx,6,16500,2026-05-08
Land Rover,Range Rover Evoque 1.5 P300e RDynamic S AUTO 4WD PHEV,2022,61000,309,Híbrido Enchufable,Manual,0_EMISIONES,Usado,30990.0,Las Palmas,https://www.coches.net/land-rover-range-rover-evoque-15-p300e-rdynamic-s-auto-4wd-phev-5p-electrico-hibrido-2023-en-las-palmas-62308184-covo.aspx,4,15250,2026-05-08
Mitsubishi,Outlander 2.4 PHEV Kaiteki Auto 4WD,2018,128000,224,Híbrido Enchufable,Manual,0_EMISIONES,Usado,19490.0,Bizkaia,https://www.coches.net/mitsubishi-outlander-24-phev-kaiteki-auto-4wd-5p-electrico-hibrido-2019-en-vizcaya-62309866-covo.aspx,8,16000,2026-05-08
Volvo,XC40 1.5 T2 Momentum Core,2021,146000,129,Gasolina,Manual,C,Usado,19990.0,Bizkaia,https://www.coches.net/volvo-xc40-15-t2-momentum-core-5p-gasolina-2021-en-vizcaya-62313221-covo.aspx,5,29200,2026-05-08
Kia,Sportage 1.6 GDi Concept 4x2,2017,141230,132,Gasolina,Manual,C,Usado,11910.0,Sevilla,https://www.coches.net/kia-sportage-16-gdi-97kw-132cv-concept-4x2-5p-gasolina-2017-en-sevilla-62314608-covo.aspx,9,15692,2026-05-08
Mercedes-Benz,GLA GLA 250 e con tecnologia hibrida EQ,2024,44000,218,Híbrido Enchufable,Manual,0_EMISIONES,Usado,39990.0,Alicante,https://www.coches.net/mercedes-benz-gla-gla-250-e-con-tecnologia-hibrida-eq-5p-electrico-hibrido-2025-en-alicante-62322805-covo.aspx,2,22000,2026-05-08
Citroen,C3 Aircross BlueHDi SS Feel Pack,2021,47954,110,Diésel,Manual,C,Usado,12990.0,Valencia,https://www.coches.net/citroen-c3-aircross-bluehdi-81kw-110cv-ss-feel-pack-5p-diesel-2021-en-valencia-62324035-covo.aspx,5,9591,2026-05-08
Audi,A3 Sportback S line 35 TDI S tronic,2025,16711,150,Diésel,Automática,C,Usado,37300.0,Gipuzkoa,https://www.coches.net/audi-a3-sportback-s-line-35-tdi-110kw-s-tronic-5p-diesel-2025-en-guipuzcoa-62328373-covo.aspx,1,16711,2026-05-08
Bmw,X2 xDrive25e Auto,2021,75000,220,Híbrido Enchufable,Manual,0_EMISIONES,Usado,22990.0,Sta. C. Tenerife,https://www.coches.net/bmw-x2-xdrive25e-auto-5p-electrico-hibrido-2021-en-sta-c-tenerife-62332640-covo.aspx,5,15000,2026-05-08
