marca,modelo,año,kilometraje_km,combustible,potencia_cv,transmision,precio_eur,tipo_venta,etiqueta_ambiental
Kia,KIA Ceed,2019,98924.0,Diésel,115.0,Manual,16800,Usado,C
Citroën,Citroën C5 Aircross,2019,61283.0,Diésel,177.0,Automática,23290,Usado,C
Bmw,BMW Serie 1,2020,95875.0,Diésel,150.0,Automática,20900,Usado,C
Fiat,Fiat 500L,2016,75964.0,Diésel,95.0,Manual,9990,Usado,C
Peugeot,Peugeot Traveller,2021,48372.0,Diésel,145.0,Automática,32500,Usado,C
Fiat,Fiat 500,2020,58430.0,Gasolina,69.0,Manual,9800,Usado,C
Fiat,Fiat Doblò Cargo,2021,120395.0,Diésel,95.0,Manual,11390,Usado,C
Mercedes,Mercedes GLB,2022,27196.0,Diésel,150.0,Automática,46500,Usado,C
Volkswagen,Volkswagen Polo,2015,108608.0,Gasolina,75.0,Manual,9590,Usado,C
Volkswagen,Volkswagen Polo,2020,120174.0,Gasolina,115.0,Automática,17500,Usado,C
Nissan,Nissan Pixo,2009,150729.0,Gasolina,68.0,Manual,4500,Usado,C
Ford,Ford Fiesta,2022,57963.0,Híbrido,125.0,Manual,15950,Usado,ECO
Opel,Opel Astra,2014,94208.0,Diésel,130.0,Manual,9450,Usado,B
Volkswagen,Volkswagen Polo,2004,199505.0,Gasolina,75.0,Manual,2500,Usado,B
Volvo,Volvo XC60,2018,87814.0,Diésel,150.0,Manual,24790,Usado,C
Mazda,Mazda CX-5,2016,179232.0,Diésel,150.0,Automática,15400,Usado,C
Volkswagen,Volkswagen Golf,2014,55524.0,Diésel,150.0,Manual,17500,Usado,B
Mercedes,Mercedes GLA,2017,78624.0,Diésel,136.0,Automática,22990,Usado,C
Audi,Audi A1,2015,95911.0,Diésel,90.0,Manual,12900,Usado,C
Mazda,Mazda Mazda3,2022,39094.0,Híbrido,186.0,Manual,25990,Usado,ECO
Ford,Ford Fiesta,2022,29554.0,Híbrido,125.0,Manual,17300,Usado,ECO
Ford,Ford Transit Connect,2021,129836.0,Diésel,100.0,Manual,15200,Usado,C
Hyundai,Hyundai Tucson,2018,137375.0,Diésel,115.0,Manual,17990,Usado,C
Seat,Seat Ibiza,2016,76839.0,Gasolina,90.0,Manual,11990,Usado,C
Mercedes,Mercedes Clase A,2020,96114.0,Diésel,116.0,Automática,25990,Usado,C
Chevrolet,Chevrolet Aveo,2012,129273.0,Gasolina,86.0,Manual,3800,Usado,C
Seat,Seat León,2016,134367.0,Diésel,110.0,Manual,10900,Usado,C
Opel,Opel Insignia,2017,119042.0,Diésel,136.0,Manual,12800,Usado,C
Ford,Ford Focus,2009,176264.0,Diésel,109.0,Manual,5350,Usado,B
Ford,Ford Transit Courier,2015,82568.0,Gasolina,100.0,Manual,12390,Usado,C
Renault,Renault Mégane,2009,94397.0,Gasolina,100.0,Manual,5900,Usado,C
Peugeot,Peugeot 5008,2016,116681.0,Diésel,150.0,Manual,13500,Usado,C
Opel,Opel Grandland X,2018,107983.0,Diésel,130.0,Manual,16990,Usado,C
Fiat,Fiat 500,2022,54209.0,Híbrido,70.0,Manual,11350,Usado,ECO
Mercedes,Mercedes Clase A,2018,70651.0,Gasolina,122.0,Automática,21390,Usado,C
Opel,Opel Corsa,2013,77620.0,Diésel,75.0,Manual,8750,Usado,B
Opel,Opel Zafira Tourer,2016,103136.0,Diésel,120.0,Manual,12750,Usado,C
Toyota,Toyota C-HR,2020,76657.0,Híbrido,122.0,Automática,22900,Usado,ECO
Mini,Mini MINI,2007,91930.0,Gasolina,120.0,Automática,8500,Usado,C
Lexus,Lexus CT,2018,66873.0,Híbrido,136.0,Automática,18900,Usado,ECO
Fiat,Fiat 500,2022,31432.0,Híbrido,70.0,Manual,11650,Usado,ECO
Seat,Seat Ibiza,2017,94650.0,Gasolina,95.0,Manual,9800,Usado,C
Skoda,Skoda Karoq,2019,62506.0,Gasolina,150.0,Automática,24990,Usado,C
Volkswagen,Volkswagen Golf,2012,223348.0,Diésel,105.0,Manual,7250,Usado,B
Volvo,Volvo XC40,2022,37201.0,Gasolina,163.0,Automática,34900,Usado,C
Opel,Opel Combo Life,2020,73683.0,Diésel,131.0,Manual,20450,Usado,C
Hyundai,Hyundai i10,2015,91029.0,Gasolina,66.0,Manual,8900,Usado,C
Kia,KIA XCeed,2022,10550.0,Gasolina,120.0,Manual,22800,Usado,C
Seat,Seat León,2017,87038.0,Gasolina,125.0,Manual,17800,Usado,C
Renault,Renault Captur,2022,11284.0,Híbrido,140.0,Manual,20590,Usado,ECO
Volvo,Volvo V60 Cross Country,2022,72673.0,Híbrido,197.0,Automática,37500,Usado,ECO
Toyota,Toyota Auris,2015,94789.0,Híbrido,136.0,Automática,13900,Usado,ECO
Renault,Renault Kangoo Combi,2016,145004.0,Diésel,75.0,Manual,9750,Usado,C
Seat,Seat León,2019,97280.0,Gnc,130.0,Manual,14900,Usado,ECO
Opel,Opel Astra,2018,53243.0,Diésel,110.0,Manual,13800,Usado,C
